"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"J&T Express Banjar",3.4,226,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/J%26T+Express+Banjar/data=!4m7!3m6!1s0x2e6f62121afd5645:0xbac8febeb7631934!8m2!3d-7.3755526!4d108.5411302!16s%2Fg%2F11c5j6qgrk!19sChIJRVb9GhJiby4RNBljt77-yLo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Banjar/@-7.3755526,108.5411302,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f62121afd5645:0xbac8febeb7631934!8m2!3d-7.3755526!4d108.5411302!16s%2Fg%2F11c5j6qgrk?authuser=0&hl=id&entry=ttu","108.5411302","-7.3755526","Alamat","Jl. Raya Pangandaran No.19, Hegarsari, Kec. Pataruman, Kota Banjar, Jawa Barat 46322"
"J&T Express Banjar",3.4,226,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/J%26T+Express+Banjar/data=!4m7!3m6!1s0x2e6f62121afd5645:0xbac8febeb7631934!8m2!3d-7.3755526!4d108.5411302!16s%2Fg%2F11c5j6qgrk!19sChIJRVb9GhJiby4RNBljt77-yLo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Banjar/@-7.3755526,108.5411302,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f62121afd5645:0xbac8febeb7631934!8m2!3d-7.3755526!4d108.5411302!16s%2Fg%2F11c5j6qgrk?authuser=0&hl=id&entry=ttu","108.5411302","-7.3755526","Telepon","(0265) 2736194"
"J&T Express Banjar",3.4,226,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/J%26T+Express+Banjar/data=!4m7!3m6!1s0x2e6f62121afd5645:0xbac8febeb7631934!8m2!3d-7.3755526!4d108.5411302!16s%2Fg%2F11c5j6qgrk!19sChIJRVb9GhJiby4RNBljt77-yLo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Banjar/@-7.3755526,108.5411302,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f62121afd5645:0xbac8febeb7631934!8m2!3d-7.3755526!4d108.5411302!16s%2Fg%2F11c5j6qgrk?authuser=0&hl=id&entry=ttu","108.5411302","-7.3755526","Plus Codes","JGFR+QF Hegarsari, Kota Banjar, Jawa Barat"
"J&T Express Banjarbaru",3.9,492,"","https://www.google.com/maps/place/J%26T+Express+Banjarbaru/data=!4m7!3m6!1s0x2de423c268d784fb:0xc6b09dbc73a8ba8!8m2!3d-3.4431862!4d114.8374709!16s%2Fg%2F11f2wcjlk9!19sChIJ-4TXaMIj5C0RqIs6x9sJaww?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Banjarbaru/@-3.4431862,114.8374709,17z/data=!3m1!4b1!4m6!3m5!1s0x2de423c268d784fb:0xc6b09dbc73a8ba8!8m2!3d-3.4431862!4d114.8374709!16s%2Fg%2F11f2wcjlk9?authuser=0&hl=id&entry=ttu","114.8374709","-3.4431862","Alamat","JL A YANI KM 35 (TEPAT DI SAMPING JL. LISTRIK 2, DERETAN POLRES BANJARBARU SAMPING INDOMARET SEBERANG MUSEUM BANJARBARU) Kel, Loktabat Selatan, Banjarbaru Selatan, Banjarbaru City, South Kalimantan 70714"
"J&T Express Banjarbaru",3.9,492,"","https://www.google.com/maps/place/J%26T+Express+Banjarbaru/data=!4m7!3m6!1s0x2de423c268d784fb:0xc6b09dbc73a8ba8!8m2!3d-3.4431862!4d114.8374709!16s%2Fg%2F11f2wcjlk9!19sChIJ-4TXaMIj5C0RqIs6x9sJaww?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Banjarbaru/@-3.4431862,114.8374709,17z/data=!3m1!4b1!4m6!3m5!1s0x2de423c268d784fb:0xc6b09dbc73a8ba8!8m2!3d-3.4431862!4d114.8374709!16s%2Fg%2F11f2wcjlk9?authuser=0&hl=id&entry=ttu","114.8374709","-3.4431862","Situs Web","jet.co.id"
"J&T Express Banjarbaru",3.9,492,"","https://www.google.com/maps/place/J%26T+Express+Banjarbaru/data=!4m7!3m6!1s0x2de423c268d784fb:0xc6b09dbc73a8ba8!8m2!3d-3.4431862!4d114.8374709!16s%2Fg%2F11f2wcjlk9!19sChIJ-4TXaMIj5C0RqIs6x9sJaww?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Banjarbaru/@-3.4431862,114.8374709,17z/data=!3m1!4b1!4m6!3m5!1s0x2de423c268d784fb:0xc6b09dbc73a8ba8!8m2!3d-3.4431862!4d114.8374709!16s%2Fg%2F11f2wcjlk9?authuser=0&hl=id&entry=ttu","114.8374709","-3.4431862","Telepon","(0511) 5912449"
"J&T Express Banjarbaru",3.9,492,"","https://www.google.com/maps/place/J%26T+Express+Banjarbaru/data=!4m7!3m6!1s0x2de423c268d784fb:0xc6b09dbc73a8ba8!8m2!3d-3.4431862!4d114.8374709!16s%2Fg%2F11f2wcjlk9!19sChIJ-4TXaMIj5C0RqIs6x9sJaww?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Banjarbaru/@-3.4431862,114.8374709,17z/data=!3m1!4b1!4m6!3m5!1s0x2de423c268d784fb:0xc6b09dbc73a8ba8!8m2!3d-3.4431862!4d114.8374709!16s%2Fg%2F11f2wcjlk9?authuser=0&hl=id&entry=ttu","114.8374709","-3.4431862","Plus Codes","HR4P+PX Loktabat Sel., Kota Banjar Baru, Kalimantan Selatan"
"J&T Express Cempaka Banjarbaru",4,491,"Tutup ⋅ Buka pukul 10.00","https://www.google.com/maps/place/J%26T+Express+Cempaka+Banjarbaru/data=!4m7!3m6!1s0x2de423c268d784fb:0xcac43472ef24d797!8m2!3d-3.4511886!4d114.846837!16s%2Fg%2F11g01_hzdl!19sChIJ-4TXaMIj5C0Rl9ck73I0xMo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Cempaka+Banjarbaru/@-3.4511886,114.846837,17z/data=!3m1!4b1!4m6!3m5!1s0x2de423c268d784fb:0xcac43472ef24d797!8m2!3d-3.4511886!4d114.846837!16s%2Fg%2F11g01_hzdl?authuser=0&hl=id&entry=ttu","114.846837","-3.4511886","Alamat","GRXW+GPW, Loktabat Sel., Kec. Banjarbaru Selatan, Kota Banjar Baru, Kalimantan Selatan 70714"
"J&T Express Cempaka Banjarbaru",4,491,"Tutup ⋅ Buka pukul 10.00","https://www.google.com/maps/place/J%26T+Express+Cempaka+Banjarbaru/data=!4m7!3m6!1s0x2de423c268d784fb:0xcac43472ef24d797!8m2!3d-3.4511886!4d114.846837!16s%2Fg%2F11g01_hzdl!19sChIJ-4TXaMIj5C0Rl9ck73I0xMo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Cempaka+Banjarbaru/@-3.4511886,114.846837,17z/data=!3m1!4b1!4m6!3m5!1s0x2de423c268d784fb:0xcac43472ef24d797!8m2!3d-3.4511886!4d114.846837!16s%2Fg%2F11g01_hzdl?authuser=0&hl=id&entry=ttu","114.846837","-3.4511886","Situs Web","jet.co.id"
"J&T Express Cempaka Banjarbaru",4,491,"Tutup ⋅ Buka pukul 10.00","https://www.google.com/maps/place/J%26T+Express+Cempaka+Banjarbaru/data=!4m7!3m6!1s0x2de423c268d784fb:0xcac43472ef24d797!8m2!3d-3.4511886!4d114.846837!16s%2Fg%2F11g01_hzdl!19sChIJ-4TXaMIj5C0Rl9ck73I0xMo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Cempaka+Banjarbaru/@-3.4511886,114.846837,17z/data=!3m1!4b1!4m6!3m5!1s0x2de423c268d784fb:0xcac43472ef24d797!8m2!3d-3.4511886!4d114.846837!16s%2Fg%2F11g01_hzdl?authuser=0&hl=id&entry=ttu","114.846837","-3.4511886","Telepon","(0511) 5912482"
